"ID"	"Bangsa"	"Hutang"	"Pendapatan.Tahunan"
"1"	1	"Cina"	-255.418493734865	3919.22472609272
"2"	2	"India"	-550.959878304241	2023.7813756683
"3"	3	"Cina"	-74.7718165596814	2480.77352025293
"4"	4	"Melayu"	-3144.7501867168	2907.82894916941
"5"	5	"Cina"	-1423.13386021593	2481.82129887826
"6"	6	"India"	-1092.24217402738	3750.68201856351
"7"	7	"Melayu"	-662.817633303428	3312.49480456329
"8"	8	"Melayu"	-2875.17346108192	2465.72152108223
"9"	9	"Melayu"	-1325.57963368243	4609.33996237005
"10"	10	"Melayu"	-770.331545573652	2596.76042687816
"11"	11	"Cina"	-1989.07815215843	2687.0609057487
"12"	12	"India"	-1171.82104104458	3134.33303845236
"13"	13	"Melayu"	-1870.46820383025	2316.51936410377
"14"	14	"Cina"	-3703.10412470684	2668.52981102211
"15"	15	"Melayu"	-1551.98472788364	3735.61872127428
"16"	16	"Cina"	-2571.6627918347	3382.20280818456
"17"	17	"Cina"	-411.825966987921	2055.23507645432
"18"	18	"India"	-998.713040937966	2609.42052501668
"19"	19	"India"	-1222.19016221258	3137.19011574876
"20"	20	"India"	-1453.95328686521	2841.29293827594
"21"	21	"India"	-879.126854939501	2595.92675959942
"22"	22	"Melayu"	-1148.21733383341	3759.62639365093
"23"	23	"Cina"	-491.5969205213	2920.0956371309
"24"	24	"India"	-505.748518817449	2464.40226828308
"25"	25	"Melayu"	-884.890417123902	3190.10748746841
"26"	26	"India"	-1298.46917438904	2571.72332077819
"27"	27	"Cina"	-2796.74262373647	2415.06930446109
"28"	28	"Melayu"	-1395.43339058726	2445.04130658119
"29"	29	"Melayu"	-1474.62168054999	3694.54434623195
"30"	30	"Melayu"	-1367.98571894839	2108.25552447331
"31"	31	"India"	-1053.28861621559	3034.19285318851
"32"	32	"Melayu"	-841.919658738151	2763.32597038327
"33"	33	"India"	-329.888999905816	4230.51135043892
"34"	34	"India"	-356.043608012097	5188.49809229937
"35"	35	"India"	-2188.04636488409	2513.64040586447
"36"	36	"Melayu"	-782.056957201207	2964.03856120537
"37"	37	"Melayu"	-469.835983299012	2868.02934519981
"38"	38	"Melayu"	-1964.85543609826	3565.36121613407
"39"	39	"India"	-471.61166162159	2800.62053823442
"40"	40	"India"	-1670.37766105789	3052.55904359401
"41"	41	"Cina"	-731.689470136809	1846.46010390684
"42"	42	"India"	-1386.3447194903	2452.57307939632
"43"	43	"India"	-1216.47969105316	2537.36929550651
"44"	44	"Melayu"	-2732.32116237358	4159.82131450925
"45"	45	"India"	-1701.43299448911	2794.99181909041
"46"	46	"India"	-59.0776233508279	3074.13138838896
"47"	47	"Melayu"	-113.457418459976	3310.06467302354
"48"	48	"India"	-3490.33756618461	2760.49206524466
"49"	49	"India"	-3222.35671287146	3387.14845615243
"50"	50	"Cina"	-1433.30841976431	2322.24555725365
"51"	51	"Cina"	-1146.69259696817	3295.41027998763
"52"	52	"India"	-1672.82094597967	2816.17280966262
"53"	53	"India"	-3267.34181871945	3419.34916172558
"54"	54	"Melayu"	-249.48836292156	3137.33987835563
"55"	55	"Cina"	-512.124031137193	4082.46172501243
"56"	56	"Cina"	-1383.85212027216	2823.95946901578
"57"	57	"Melayu"	-1665.41158567739	2026.77424069844
"58"	58	"Melayu"	-1520.01919219951	3745.70386198743
"59"	59	"Melayu"	-480.772369010642	3297.04260918354
"60"	60	"Melayu"	-898.613864551623	4144.05917759126
"61"	61	"Cina"	-1574.78256072313	2225.31294878009
"62"	62	"Melayu"	-584.937176726206	2987.59987718986
"63"	63	"Cina"	-441.591125013901	3343.10115603431
"64"	64	"India"	-51.0292507501937	3133.89193362665
"65"	65	"India"	-1444.83076650659	1974.83617149436
"66"	66	"Melayu"	-888.742863867962	2552.26812972304
"67"	67	"India"	-780.937464934783	2660.96858888117
"68"	68	"India"	-1001.10033613221	2418.36694204734
"69"	69	"Cina"	-1455.07144752023	2954.12286871872
"70"	70	"India"	-878.403516625191	3154.31448022737
"71"	71	"Melayu"	-713.000881393849	2850.95789144768
"72"	72	"India"	-1524.8221325193	3321.80725397657
"73"	73	"Melayu"	-480.604275564019	2877.43396032338
"74"	74	"India"	-1110.29237263228	4220.75547063314
"75"	75	"India"	-961.259824934791	3035.47726170598
"76"	76	"Melayu"	-3098.84711494453	2598.85037823384
"77"	77	"Cina"	-1087.06945582892	2367.88982335654
"78"	78	"India"	-1405.3865338231	2452.53300394382
"79"	79	"Melayu"	-2646.49048807608	2755.81833110478
"80"	80	"India"	-538.04998534522	2797.26412342711
"81"	81	"Cina"	-2526.09892303318	3177.73222824457
"82"	82	"Cina"	-527.040326663922	2915.68495666205
"83"	83	"India"	-444.57000299465	2758.18837706015
"84"	84	"Melayu"	-2098.44206753061	3350.98420296757
"85"	85	"Cina"	-2491.68177375299	3082.73157565062
"86"	86	"India"	-1610.58679242203	1772.09034222546
"87"	87	"Melayu"	-629.957722380132	2112.83594537572
"88"	88	"Cina"	-1621.89368325326	2938.81189957815
"89"	89	"Cina"	-669.171064950017	3036.24736382481
"90"	90	"Melayu"	-214.127465302902	2846.02080552049
"91"	91	"Cina"	-484.980256380711	2757.80257001928
