"","state.of.res","custid","sex","is.employed","income","marital.stat","health.ins","housing.type","recent.move","num.vehicles","age","is.employed.fix1","Median.Income","gp","income.lt.30K","age.range","Income"
"215","Florida",46791,"M",NA,22700,"Married",TRUE,"Homeowner free and clear",FALSE,2,67,"missing",56895,0.594983885297552,TRUE,"(65,Inf]",45000
"444","Michigan",36825,"M",TRUE,17500,"Married",FALSE,"Rented",FALSE,2,35,"employed",62634,0.555028432281688,TRUE,"(25,65]",60000
"949","Virginia",415060,"F",FALSE,16000,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE,1,60,"not employed",53914,0.112282044254243,TRUE,"(25,65]",NA
"122","California",1159665,"M",TRUE,37000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,46,"employed",39832,0.277308323420584,FALSE,"(25,65]",402000
"994","Wisconsin",1131536,"M",TRUE,80000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,57,"employed",41073,0.144478643545881,FALSE,"(25,65]",NA
"58","California",819436,"F",NA,56800,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE,1,81,"missing",39832,0.301192527636886,FALSE,"(65,Inf]",120300
"536","Nevada",1082333,"M",TRUE,45000,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE,2,50,"employed",52498,0.505580645054579,FALSE,"(25,65]",NA
"557","New Jersey",968478,"F",TRUE,46800,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE,3,48,"employed",68187,0.124990240903571,FALSE,"(25,65]",23800
"639","New York",1185185,"M",NA,19000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,1,71,"missing",44819,0.112095572054386,TRUE,"(65,Inf]",NA
"590","New Mexico",864947,"F",NA,22700,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE,1,67,"missing",68071,0.33097833651118,TRUE,"(65,Inf]",30900
"568","New Jersey",565628,"F",TRUE,15000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,58,"employed",68187,0.0102407187223434,TRUE,"(25,65]",2e+05
"157","Colorado",648220,"M",TRUE,20000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,51,"employed",59209,0.49776848917827,TRUE,"(25,65]",NA
"21","Arizona",1372296,"F",NA,62000,"Widowed",TRUE,"Homeowner free and clear",TRUE,1,62,"missing",65720,0.369414650602266,FALSE,"(25,65]",35000
"480","Minnesota",33651,"F",TRUE,45000,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,44,"employed",50118,0.684677336597815,FALSE,"(25,65]",40000
"151","California",487124,"M",TRUE,2000,"Married",FALSE,"Rented",FALSE,2,54,"employed",39832,0.998247954528779,TRUE,"(25,65]",32000
"15","Arizona",1096606,"M",TRUE,52500,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,50,"employed",65720,0.421101192943752,FALSE,"(25,65]",170000
"311","Indiana",124968,"F",TRUE,100000,"Never Married",TRUE,"Homeowner free and clear",FALSE,1,56,"employed",55534,0.753998699132353,FALSE,"(25,65]",NA
"573","New Jersey",778821,"M",NA,23500,"Widowed",TRUE,"Homeowner free and clear",FALSE,2,79,"missing",68187,0.896337155951187,TRUE,"(65,Inf]",165050
"143","California",199788,"M",FALSE,43500,"Never Married",FALSE,"Homeowner free and clear",TRUE,2,37,"not employed",39832,0.636425565928221,FALSE,"(25,65]",54000
"335","Iowa",345994,"M",TRUE,177000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,5,48,"employed",47526,0.136544342385605,FALSE,"(25,65]",9600
"398","Massachusetts",1097109,"M",TRUE,44000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,50,"employed",66928,0.0516261290758848,FALSE,"(25,65]",NA
"801","Pennsylvania",1241975,"M",TRUE,35400,"Married",FALSE,"Homeowner with mortgage/loan",FALSE,2,51,"employed",52758,0.0725317536853254,FALSE,"(25,65]",116000
"792","Pennsylvania",351129,"F",NA,0,"Never Married",TRUE,"Rented",FALSE,2,51,"missing",52758,0.104723465861753,TRUE,"(25,65]",12000
"100","California",829722,"F",NA,29000,"Widowed",TRUE,"Homeowner free and clear",FALSE,0,78,"missing",39832,0.238271063892171,TRUE,"(65,Inf]",110000
"723","Ohio",122231,"M",TRUE,100000,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE,2,48,"employed",52176,0.397499560378492,FALSE,"(25,65]",NA
"674","New York",1400440,"M",NA,0,"Married",TRUE,NA,NA,NA,37,"missing",44819,0.622958352556452,TRUE,"(25,65]",385000
"731","Ohio",496465,"M",NA,0,"Divorced/Separated",FALSE,NA,NA,NA,45,"missing",52176,0.147300403099507,TRUE,"(25,65]",11200
"387","Maryland",175033,"M",NA,269000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,47,"missing",49572,0.104691549669951,FALSE,"(25,65]",93300
"974","Washington",702348,"F",NA,3000,"Married",TRUE,"Rented",TRUE,4,20,"missing",64095,0.742260459344834,TRUE,"[0,25]",43600
"396","Maryland",440475,"M",TRUE,35000,"Married",TRUE,"Homeowner free and clear",FALSE,2,49,"employed",49572,0.322526689153165,FALSE,"(25,65]",NA
"280","Illinois",1321154,"F",NA,8000,"Widowed",TRUE,NA,NA,NA,83,"missing",49293,0.520752758253366,TRUE,"(65,Inf]",NA
"966","Washington",478502,"M",TRUE,90000,"Married",FALSE,"Rented",FALSE,1,62,"employed",64095,0.607271722285077,FALSE,"(25,65]",113950
"14","Alaska",416144,"F",TRUE,82000,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE,2,44,"employed",44191,0.306658288929611,FALSE,"(25,65]",89200
"171","Connecticut",1282762,"M",NA,0,"Never Married",FALSE,NA,NA,NA,41,"missing",61154,0.420155006228015,TRUE,"(25,65]",110000
