houseValue;income;houseAge;rooms;bedrooms;population;households;latitude;longitude;id.y;STATE;COUNTY;NAME;LSAD;LSAD_TRANS;suminc;roomhead;bedroomhead;hhsize
452600;8.3252;41;880;129;322;126;37.88;-122.23;1;6;1;Alameda;6;County;1048.9752;2.732919255;0.400621118;2.555555556
358500;8.3014;21;7099;1106;2401;1138;37.86;-122.22;2;6;1;Alameda;6;County;9446.9932;2.956684715;0.460641399;2.109841828
352100;7.2574;52;1467;190;496;177;37.85;-122.24;3;6;1;Alameda;6;County;1284.5598;2.95766129;0.383064516;2.802259887
341300;5.6431;52;1274;235;558;219;37.85;-122.25;4;6;1;Alameda;6;County;1235.8389;2.283154122;0.421146953;2.547945205
342200;3.8462;52;1627;280;565;259;37.85;-122.25;5;6;1;Alameda;6;County;996.1658;2.879646018;0.495575221;2.181467181
269700;4.0368;52;919;213;413;193;37.85;-122.25;6;6;1;Alameda;6;County;779.1024;2.225181598;0.515738499;2.139896373
299200;3.6591;52;2535;489;1094;514;37.84;-122.25;7;6;1;Alameda;6;County;1880.7774;2.317184644;0.446983547;2.128404669
241400;3.12;52;3104;687;1157;647;37.84;-122.25;8;6;1;Alameda;6;County;2018.64;2.682800346;0.59377701;1.788253478
226700;2.0804;42;2555;665;1206;595;37.84;-122.26;9;6;1;Alameda;6;County;1237.838;2.118573798;0.551409619;2.026890756
261100;3.6912;52;3549;707;1551;714;37.84;-122.25;10;6;1;Alameda;6;County;2635.5168;2.288201161;0.455834945;2.172268908
281500;3.2031;52;2202;434;910;402;37.85;-122.26;11;6;1;Alameda;6;County;1287.6462;2.41978022;0.476923077;2.263681592
241800;3.2705;52;3503;752;1504;734;37.85;-122.26;12;6;1;Alameda;6;County;2400.547;2.32912234;0.5;2.049046322
213500;3.075;52;2491;474;1098;468;37.85;-122.26;13;6;1;Alameda;6;County;1439.1;2.26867031;0.431693989;2.346153846
191300;2.6736;52;696;191;345;174;37.84;-122.26;14;6;1;Alameda;6;County;465.2064;2.017391304;0.553623188;1.982758621
159200;1.9167;52;2643;626;1212;620;37.85;-122.26;15;6;1;Alameda;6;County;1188.354;2.180693069;0.51650165;1.95483871
140000;2.125;50;1120;283;697;264;37.85;-122.26;16;6;1;Alameda;6;County;561;1.606886657;0.406025825;2.640151515
152500;2.775;52;1966;347;793;331;37.85;-122.27;17;6;1;Alameda;6;County;918.525;2.479192938;0.437578815;2.395770393
155500;2.1202;52;1228;293;648;303;37.85;-122.27;18;6;1;Alameda;6;County;642.4206;1.895061728;0.452160494;2.138613861
158700;1.9911;50;2239;455;990;419;37.84;-122.26;19;6;1;Alameda;6;County;834.2709;2.261616162;0.45959596;2.362768496
162900;2.6033;52;1503;298;690;275;37.84;-122.27;20;6;1;Alameda;6;County;715.9075;2.17826087;0.431884058;2.509090909
147500;1.3578;40;751;184;409;166;37.85;-122.27;21;6;1;Alameda;6;County;225.3948;1.836185819;0.449877751;2.463855422
159800;1.7135;42;1639;367;929;366;37.85;-122.27;22;6;1;Alameda;6;County;627.141;1.764262648;0.395048439;2.538251366
113900;1.725;52;2436;541;1015;478;37.84;-122.27;23;6;1;Alameda;6;County;824.55;2.4;0.533004926;2.123430962
99700;2.1806;52;1688;337;853;325;37.84;-122.27;24;6;1;Alameda;6;County;708.695;1.978898007;0.395076202;2.624615385
132600;2.6;52;2224;437;1006;422;37.84;-122.27;25;6;1;Alameda;6;County;1097.2;2.210735586;0.434393638;2.383886256
107500;2.4038;41;535;123;317;119;37.85;-122.28;26;6;1;Alameda;6;County;286.0522;1.687697161;0.388012618;2.663865546
93800;2.4597;49;1130;244;607;239;37.85;-122.28;27;6;1;Alameda;6;County;587.8683;1.861614498;0.401976936;2.539748954
105500;1.808;52;1898;421;1102;397;37.85;-122.28;28;6;1;Alameda;6;County;717.776;1.722323049;0.382032668;2.77581864
108900;1.6424;50;2082;492;1131;473;37.84;-122.28;29;6;1;Alameda;6;County;776.8552;1.840848806;0.435013263;2.391120507
132000;1.6875;52;729;160;395;155;37.84;-122.28;30;6;1;Alameda;6;County;261.5625;1.84556962;0.405063291;2.548387097
122300;1.9274;49;1916;447;863;378;37.84;-122.28;31;6;1;Alameda;6;County;728.5572;2.220162225;0.517960603;2.283068783
115200;1.9615;52;2153;481;1168;441;37.84;-122.28;32;6;1;Alameda;6;County;865.0215;1.843321918;0.411815068;2.648526077
