"ID_Person"	"income"	"debt"	"child"	"car"	"saving"
"1"	"A1"	37418.412998349	-14380.80823066	3	0	3185.26559265337
"2"	"C4"	25516.8395713947	-7640.78117931692	8	0	2831.35656528287
"3"	"B3"	37149.125888157	-4609.78953990775	5	2	3279.6300091632
"4"	"B1"	28495.6092695071	-6944.77702250576	7	2	2763.57596783797
"5"	"A3"	33065.1091101025	-11590.2712658908	3	2	1522.74856400754
"6"	"C2"	36628.3638478595	-6748.11342716882	4	0	3087.37586520152
"7"	"C3"	27148.0700936375	-10415.8575565374	6	2	3026.04795497403
"8"	"A4"	21967.6876912068	-5754.71506145255	2	0	3370.3256622935
"9"	"B2"	24000.849815571	-7728.8560350236	2	3	3103.76612568512
"10"	"A2"	36772.9965128781	-13074.3709158191	5	2	5944.12119734307
"11"	"B4"	33728.649335879	-7519.01193236797	10	4	3930.52993958355
"12"	"C1"	22022.8341702962	-9009.37880608364	5	1	4149.97575619503
