state,date,sex,age,abs,rate
Johor,2017-01-01,female,all,27308,27.59
Johor,2017-01-01,female,< 20,1079,1.88
Johor,2017-01-01,female,20-24,8135,64.02
Johor,2017-01-01,female,25-29,10953,159.12
Johor,2017-01-01,female,30-34,3769,102.22
Johor,2017-01-01,female,35-39,1563,64.06
Johor,2017-01-01,female,40-44,811,76.51
Johor,2017-01-01,female,45-49,451,38.19
Johor,2017-01-01,female,50-54,275,12.55
Johor,2017-01-01,female,55-59,136,6.12
Johor,2017-01-01,female,60-64,82,3.58
Johor,2017-01-01,female,65+,54,0.77
Johor,2017-01-01,male,all,27626,25.82
Johor,2017-01-01,male,< 20,251,0.4
Johor,2017-01-01,male,20-24,4812,29.67
Johor,2017-01-01,male,25-29,11792,102.39
Johor,2017-01-01,male,30-34,5499,96.77
Johor,2017-01-01,male,35-39,2291,72.05
Johor,2017-01-01,male,40-44,1123,80.88
Johor,2017-01-01,male,45-49,644,66.34
Johor,2017-01-01,male,50-54,448,40.09
Johor,2017-01-01,male,55-59,313,34.25
Johor,2017-01-01,male,60-64,187,20.56
Johor,2017-01-01,male,65+,266,9.1
Johor,2018-01-01,female,all,26806,26.7
Johor,2018-01-01,female,< 20,958,1.7
Johor,2018-01-01,female,20-24,7605,58.8
Johor,2018-01-01,female,25-29,10966,156.8
Johor,2018-01-01,female,30-34,3700,100.8
Johor,2018-01-01,female,35-39,1615,62.8
Johor,2018-01-01,female,40-44,851,80.1
Johor,2018-01-01,female,45-49,532,44.6
Johor,2018-01-01,female,50-54,311,13.9
Johor,2018-01-01,female,55-59,164,7.3
Johor,2018-01-01,female,60-64,60,2.5
Johor,2018-01-01,female,65+,44,0.6
Johor,2018-01-01,male,all,27153,25.2
Johor,2018-01-01,male,< 20,272,0.4
Johor,2018-01-01,male,20-24,4607,27.8
Johor,2018-01-01,male,25-29,11528,100.3
Johor,2018-01-01,male,30-34,5450,95.8
Johor,2018-01-01,male,35-39,2266,69.0
Johor,2018-01-01,male,40-44,1165,81.8
Johor,2018-01-01,male,45-49,674,67.7
Johor,2018-01-01,male,50-54,469,41.6
Johor,2018-01-01,male,55-59,320,34.0
Johor,2018-01-01,male,60-64,172,18.2
Johor,2018-01-01,male,65+,230,7.5
Johor,2019-01-01,female,all,26574,26.4
Johor,2019-01-01,female,< 20,903,1.6
Johor,2019-01-01,female,20-24,7425,57.1
Johor,2019-01-01,female,25-29,10930,156.7
Johor,2019-01-01,female,30-34,3607,99.6
Johor,2019-01-01,female,35-39,1688,63.8
Johor,2019-01-01,female,40-44,862,80.3
Johor,2019-01-01,female,45-49,508,42.6
Johor,2019-01-01,female,50-54,325,14.3
Johor,2019-01-01,female,55-59,168,7.3
Johor,2019-01-01,female,60-64,92,3.7
Johor,2019-01-01,female,65+,66,0.9
Johor,2019-01-01,male,all,26872,25.1
Johor,2019-01-01,male,< 20,261,0.4
Johor,2019-01-01,male,20-24,4529,27.4
Johor,2019-01-01,male,25-29,11662,104.3
Johor,2019-01-01,male,30-34,5181,92.5
Johor,2019-01-01,male,35-39,2252,67.6
Johor,2019-01-01,male,40-44,1087,75.6
Johor,2019-01-01,male,45-49,643,64.2
Johor,2019-01-01,male,50-54,443,39.5
Johor,2019-01-01,male,55-59,343,35.8
Johor,2019-01-01,male,60-64,213,21.9
Johor,2019-01-01,male,65+,258,8.1
Johor,2020-01-01,female,all,22917,22.7
Johor,2020-01-01,female,< 20,785,1.4
Johor,2020-01-01,female,20-24,6643,50.8
Johor,2020-01-01,female,25-29,9553,137.0
Johor,2020-01-01,female,30-34,2900,80.5
Johor,2020-01-01,female,35-39,1275,47.5
